id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34993391,En-suite Double Room  in a house Close to  Airport,62940024,Theo,,Fingal,53.46827,-6.23879,Private room,35,1,20,2021-01-10,0.65,1,67,1,
35005349,Loreto Abbey Rathfarnham,162402361,Ian,,Dn Laoghaire-Rathdown,53.28907,-6.27281,Entire home/apt,144,14,12,2021-08-02,0.39,24,307,9,
35035353,Beautiful Edwardian house,263912768,Jason,,Dublin City,53.31399,-6.28266,Private room,180,6,0,,,1,365,0,
35053054,Room in cosy apartment by Christchurch cathedral,28496239,Martin Et Aicha,,Dublin City,53.34409,-6.27443,Private room,63,1,5,2019-09-20,0.17,1,0,0,
35053161,Double/triple large bedroom with private bathroom,187333824,Julia,,Fingal,53.40087,-6.14149,Private room,84,1,36,2019-09-22,1.20,1,14,0,
35083905,Spacious room w/ private bathroom in Dublin 20,141198802,Jarek,,South Dublin,53.34273,-6.43716,Private room,35,2,0,,,1,0,0,
35085606,Down town 1BR Apartment x,260461252,Ellie,,Dublin City,53.35469,-6.2632,Entire home/apt,522,4,5,2020-01-01,0.17,5,7,0,
35085611,Down town 2BR Apartment x,260461252,Ellie,,Dublin City,53.35436,-6.26644,Entire home/apt,522,4,6,2019-09-17,0.21,5,7,0,
35090499,Cozy Apartment in the heart of Dublin City Centre,37785000,Lisa,,Dublin City,53.33751,-6.2645,Entire home/apt,160,2,2,2020-02-09,0.07,1,0,0,
35091868,Comfortable and clean single room in Santry,20758313,Trevor,,Dublin City,53.39905,-6.22768,Private room,29,9,2,2019-07-05,0.07,1,0,0,
35123611,"Private Room in Duplex Apt At Beacon, Sandyford",212804578,Chinua,,Dn Laoghaire-Rathdown,53.2782,-6.2162,Private room,48,1,4,2020-01-25,0.13,1,0,0,
35124391,Riverside apartment in very quiet block,13119176,Avila,,Dublin City,53.35819,-6.27218,Entire home/apt,140,2,0,,,1,0,0,
35124417,Spacious double bedroom in the heart of Dublin,143488126,Sabine,,Dublin City,53.33209,-6.26219,Private room,55,2,6,2019-09-22,0.19,1,0,0,
35141834,2BR charming Apt beside Merrion Sq,264430227,Mary,,Dublin City,53.34055,-6.24578,Entire home/apt,135,14,59,2021-10-29,1.92,1,203,10,
35150735,Double bedroom apartment by St Patrick's Cathedral,79240739,Zoloo,,Dublin City,53.33699,-6.27722,Entire home/apt,70,1,8,2019-07-07,0.26,1,0,0,
35152001,Beautiful 3 BDR Family Home - wkly/mthly available,13781327,Avril,,Dublin City,53.33427,-6.27766,Entire home/apt,200,3,24,2021-05-30,0.79,1,0,1,
35160597,Glen Abbey Accommodation,131468956,Patrick,,Dn Laoghaire-Rathdown,53.29475,-6.21508,Private room,75,4,9,2019-09-02,0.30,4,0,0,
35173598,Citywest & Tallaght Professional Stay with Parking,57383517,Nibedita,,South Dublin,53.27355,-6.38529,Private room,30,3,1,2019-12-15,0.04,1,0,0,
35210012,Comfortable new house located at Portmarnock train,158579263,Maria,,Fingal,53.41622,-6.14921,Private room,300,1,1,2019-06-09,0.03,1,89,0,
35214199,Stunning apartment opposite Trinity College,265125882,K.J,,Dublin City,53.34465,-6.25226,Entire home/apt,195,3,6,2019-08-18,0.20,1,63,0,
35219716,Sandycove Dream,50820794,Gillian,,Dn Laoghaire-Rathdown,53.28813,-6.12555,Entire home/apt,500,1,0,,,2,0,0,
35228077,"Light, Bright, Modern Apartment - Mins to City",265238859,Jp,,Dublin City,53.33858,-6.27613,Entire home/apt,159,2,32,2020-03-08,1.05,1,11,0,
35229089,Newly Renovated apt in the best area of Dublin,1107831,David,,Dublin City,53.31773,-6.23319,Entire home/apt,179,2,17,2019-09-01,0.56,1,0,0,
35231214,High quality & cosy room in Stillorgan,115615721,Catia,,Dn Laoghaire-Rathdown,53.26838,-6.19686,Private room,120,3,3,2019-07-31,0.10,2,311,0,
35243415,"Double bed with balcony, bathroom in Stillorgan",15306607,Andreas,,Dn Laoghaire-Rathdown,53.28295,-6.19499,Private room,60,1,1,2021-10-12,0.51,1,0,1,
35247934,Kinsealy Downs,265368904,Peter,,Fingal,53.44485,-6.19956,Entire home/apt,300,7,0,,,1,0,0,
35273827,Temple Bar - City Centre Apartment,37607357,David Eduardo,,Dublin City,53.34749,-6.26203,Entire home/apt,85,2,12,2020-03-13,0.39,2,0,0,
35274738,Dublin Centre-Quiet double-bed & Private bathroom,33204838,Jessica,,Dublin City,53.35021,-6.28435,Private room,60,2,62,2021-11-21,2.03,1,66,7,
35289196,Breakfast and comfort room near by airport,174213822,Karolyne,,Fingal,53.41896,-6.38646,Private room,2000,1,2,2019-06-30,0.07,2,178,0,
35320369,Bright and Quiet apartment beside the Phoenix Park,143631195,Asia,,Dublin City,53.35076,-6.34654,Entire home/apt,110,2,11,2019-11-05,0.37,1,0,0,
35340639,"Single room in Belgard Heights, Tallaght",262010851,Linda,,South Dublin,53.29719,-6.38336,Private room,28,2,31,2021-11-18,1.02,2,246,12,
35340788,Large Family Home in Skerries,42471750,Paul,,Fingal,53.57073,-6.13324,Entire home/apt,550,2,3,2021-09-19,0.11,1,36,2,
35346979,Spacious 3 Bedroom Townhouse Dublin,17981524,Christina,,Dublin City,53.32546,-6.31513,Entire home/apt,120,7,5,2020-05-26,0.17,5,0,0,
35355059,Donnybrook Delight - Contemporary Spacious Home,32478579,Christine,,Dublin City,53.31429,-6.23207,Entire home/apt,429,2,7,2019-08-23,0.24,1,0,0,
35366258,In the Heart of Dublin,266244126,Gustavo,,Dublin City,53.35036,-6.24073,Private room,45,4,9,2020-03-12,0.30,2,0,0,
35372523,Cosy Private Room in Quiet Home,31810133,Kevin,,South Dublin,53.27,-6.33335,Private room,38,1,47,2021-12-03,1.55,1,0,5,
35377358,Private room in the heart of Dublin,14965476,Allison,,Dublin City,53.33552,-6.27538,Private room,70,1,1,2019-06-11,0.03,1,0,0,
35406191,Stylish two bed house in Portobello,266493116,Robbie,,Dublin City,53.33122,-6.26782,Entire home/apt,200,2,3,2019-07-14,0.10,1,0,0,
35408107,Cosy double bedroom Dublin,86460838,Samantha,,Dublin City,53.31913,-6.30406,Private room,55,1,1,2019-06-21,0.03,1,0,0,
35412686,Spacious Studio Apartment in the heart of Ranelagh,266511605,Azaad,,Dublin City,53.32804,-6.26267,Entire home/apt,46,2,7,2019-07-11,0.23,1,0,0,
35418759,Chic room in central Dublin city apartment,15536375,Sean,,Dublin City,53.34759,-6.27836,Private room,50,1,72,2020-03-08,2.43,1,0,0,
35438290,Cozy Room in the City Center - Walking distance,37607357,David Eduardo,,Dublin City,53.34719,-6.26391,Private room,67,2,16,2020-03-01,0.54,2,0,0,
35439735,1 Bedroom Luxury First Floor Apartment,74950995,Barry,,Dublin City,53.34678,-6.26463,Hotel room,149,1,2,2021-08-29,0.08,3,0,1,
35447530,Luxury 2 Bdr / 2 Bath - Sleeps 8,74950995,Barry,,Dublin City,53.34873,-6.26312,Hotel room,189,1,6,2021-08-29,1.33,3,0,6,
35448648,Self Contained Monkstown Hideaway,266313999,Mairead,,Dn Laoghaire-Rathdown,53.29126,-6.14632,Private room,100,2,29,2021-09-03,0.96,1,36,13,
35461596,Central Dun Laoghaire loft near the sea,86738257,Aaron,,Dn Laoghaire-Rathdown,53.29077,-6.13803,Entire home/apt,130,2,4,2019-09-01,0.14,1,0,0,
35462882,Cosy flat to discover Dublin & surroundings!,17829825,Babette,,Dublin City,53.35085,-6.24278,Entire home/apt,80,2,9,2020-03-01,0.31,1,0,0,
35479090,Dublin Garden Terrace Apartment,111892064,Liz,,Dublin City,53.33367,-6.2666,Entire home/apt,200,2,2,2020-03-15,0.07,2,5,0,
35489321,Inchicore House,207338851,Abni,,Dublin City,53.33794,-6.30836,Private room,30,2,9,2019-09-15,0.30,1,0,0,
35492738,"Room in city centre, close to Croke Park",267021742,Tatjana,,Dublin City,53.35541,-6.25004,Private room,500,1,41,2020-03-08,1.39,1,58,0,
35506380,Newly designed home near the Sea,12997275,Brendan,,Fingal,53.3907,-6.12208,Entire home/apt,220,3,2,2019-07-13,0.07,1,0,0,
35511291,City Centre Penthouse with Rooftop Terrace,35369029,Megan,,Dublin City,53.34518,-6.2539,Entire home/apt,159,7,4,2019-08-17,0.14,1,0,0,
35512947,★ Private 5 Star Bedroom in City Center ★,148781281,Karen & Edy,,Dublin City,53.34969,-6.27342,Private room,75,2,14,2019-11-17,0.47,1,0,0,
35528477,Bedroom,173395026,Brian,,Dublin City,53.37897,-6.23616,Private room,18,1,0,,,1,0,0,
35535668,Period Cottage in Historic Dublin,127554976,Frederique,,Dublin City,53.32376,-6.23477,Entire home/apt,150,3,6,2020-12-27,0.20,1,0,1,
35538645,"Beautiful, comfortable, family home near the coast",86124800,Gerry,,Dublin City,53.37648,-6.1776,Entire home/apt,170,7,0,,,1,0,0,
35539685,Charming flat in the best neighborhood of Dublin,267383465,Liange,,Dublin City,53.34087,-6.27324,Entire home/apt,120,1,2,2019-09-29,0.07,1,0,0,
35545729,"Double Bedroom,Private Bathroom,Free Parking",6035073,Daniel,,Fingal,53.37208,-6.3706,Private room,75,1,41,2020-03-10,1.36,6,0,0,
35559565,Bright modern apartment,54948366,Conor,,Dublin City,53.33672,-6.37989,Entire home/apt,59,2,9,2019-11-11,0.30,1,0,0,
35559705,"City 15 min on dart
Airport 15 min drive",264096300,Sean,,Dublin City,53.37918,-6.19214,Private room,100,1,39,2021-11-29,1.41,2,137,9,
35561370,Bright - Top Floor - Master bedroom with Ensuite,261026691,Sharonann,,Fingal,53.44135,-6.19558,Private room,35,2,2,2021-11-18,0.07,1,73,1,
35562722,Wonderful Dublin Seaside Home,267557578,Mark,,Fingal,53.44643,-6.13707,Entire home/apt,195,8,1,2019-08-09,0.04,1,0,0,
35563644,Temple Bar rooms,247178939,Hiphipstay,,Dublin City,53.34724,-6.26809,Private room,103,2,26,2021-11-20,0.88,9,261,8,
35569423,"Relaxing hideaway, close to Airport and Malahide.",18585197,Daren,,Fingal,53.44369,-6.20146,Private room,55,2,42,2020-03-15,1.39,1,225,0,
35571803,cosy room in quiet area 15 mins from city center,267640643,David,,Dublin City,53.39024,-6.17829,Private room,55,2,10,2021-11-26,0.33,1,68,9,
35576859,Big bright family home near the city and the sea,170802120,Louise,,Dn Laoghaire-Rathdown,53.30963,-6.20849,Entire home/apt,180,2,7,2019-09-24,0.24,1,0,0,
35577845,En-suite Double Room in Dublin's Silicon Valley,266123186,Elo,,Dublin City,53.34321,-6.22856,Private room,45,4,43,2021-08-02,1.43,3,104,12,
